x[0] 		x[1] 		x[2] 		 Norma
0.098851 	0.119770 	0.011612 	0.001131
0.098746 	0.119766 	0.011612 	0.004647
0.098745 	0.119764 	0.011596 	0.001025
0.098736 	0.119762 	0.011584 	0.001519
0.098711 	0.119762 	0.011591 	0.002216
0.098706 	0.119760 	0.011579 	0.001309
0.098606 	0.119755 	0.011580 	0.004587
0.098604 	0.119753 	0.011564 	0.001027
0.098596 	0.119751 	0.011553 	0.001537
0.098573 	0.119750 	0.011559 	0.002166
0.098567 	0.119749 	0.011548 	0.001322
0.098496 	0.119744 	0.011550 	0.003901
0.098493 	0.119742 	0.011537 	0.001081
0.098472 	0.119738 	0.011520 	0.002350
0.098462 	0.119738 	0.011528 	0.001281
0.098346 	0.119722 	0.011479 	0.005283
0.098338 	0.119723 	0.011493 	0.001009
0.098327 	0.119723 	0.011500 	0.001433
0.098303 	0.119718 	0.011483 	0.002503
0.098294 	0.119718 	0.011491 	0.001253
0.098068 	0.119684 	0.011410 	0.007376
0.098059 	0.119685 	0.011432 	0.001048
0.098049 	0.119685 	0.011439 	0.001363
0.098009 	0.119676 	0.011415 	0.003228
0.098001 	0.119676 	0.011425 	0.001124
0.097934 	0.119666 	0.011428 	0.003952
0.097932 	0.119664 	0.011415 	0.001083
0.097911 	0.119659 	0.011399 	0.002391
0.097902 	0.119658 	0.011407 	0.001276
0.097793 	0.119634 	0.011361 	0.005289
0.097786 	0.119635 	0.011375 	0.001012
0.097776 	0.119634 	0.011382 	0.001453
0.097756 	0.119628 	0.011366 	0.002380
0.097747 	0.119628 	0.011374 	0.001278
0.097647 	0.119603 	0.011332 	0.005125
0.097640 	0.119604 	0.011345 	0.001017
0.097629 	0.119602 	0.011351 	0.001485
0.097612 	0.119597 	0.011337 	0.002264
0.097603 	0.119596 	0.011344 	0.001301
0.097543 	0.119580 	0.011315 	0.004036
0.097536 	0.119580 	0.011326 	0.001081
0.097511 	0.119575 	0.011332 	0.002406
0.097507 	0.119573 	0.011324 	0.001162
0.097021 	0.119447 	0.011181 	0.011324
0.097011 	0.119448 	0.011208 	0.000987
0.097004 	0.119447 	0.011218 	0.001108
0.096958 	0.119435 	0.011223 	0.003419
0.096956 	0.119433 	0.011212 	0.001116
0.096911 	0.119416 	0.011188 	0.003636
0.096905 	0.119415 	0.011198 	0.001104
0.096869 	0.119405 	0.011203 	0.003024
0.096867 	0.119403 	0.011194 	0.001083
0.096828 	0.119388 	0.011172 	0.003410
0.096821 	0.119387 	0.011182 	0.001116
0.096767 	0.119371 	0.011186 	0.003793
0.096765 	0.119368 	0.011174 	0.001096
0.096741 	0.119358 	0.011159 	0.002737
0.096735 	0.119357 	0.011165 	0.001111
0.096641 	0.119327 	0.011167 	0.005027
0.096640 	0.119324 	0.011153 	0.001022
0.096634 	0.119321 	0.011144 	0.001513
0.096619 	0.119316 	0.011149 	0.001943
0.096613 	0.119313 	0.011140 	0.001489
0.096597 	0.119308 	0.011145 	0.002002
0.096593 	0.119305 	0.011137 	0.001333
0.096536 	0.119287 	0.011142 	0.003911
0.096535 	0.119284 	0.011130 	0.001090
0.096513 	0.119274 	0.011115 	0.002617
0.096507 	0.119273 	0.011121 	0.001124
0.096379 	0.119227 	0.011119 	0.005987
0.096378 	0.119224 	0.011104 	0.001001
0.096375 	0.119222 	0.011096 	0.001254
0.096180 	0.119148 	0.011087 	0.007440
0.096181 	0.119145 	0.011069 	0.000962
0.096178 	0.119142 	0.011061 	0.001083
0.096139 	0.119123 	0.011040 	0.003554
0.096133 	0.119122 	0.011049 	0.001107
0.096087 	0.119105 	0.011055 	0.003594
0.096085 	0.119102 	0.011044 	0.001105
0.096055 	0.119086 	0.011027 	0.003137
0.096049 	0.119085 	0.011034 	0.001067
0.096019 	0.119074 	0.011039 	0.002901
0.096017 	0.119071 	0.011031 	0.001090
0.095973 	0.119049 	0.011008 	0.003792
0.095966 	0.119048 	0.011018 	0.001094
0.095937 	0.119036 	0.011023 	0.002888
0.095934 	0.119034 	0.011015 	0.001090
0.095889 	0.119011 	0.010993 	0.003838
0.095883 	0.119010 	0.011003 	0.001092
0.095855 	0.118998 	0.011008 	0.002828
0.095852 	0.118996 	0.011000 	0.001095
0.095802 	0.118969 	0.010976 	0.004075
0.095795 	0.118968 	0.010986 	0.001080
0.095772 	0.118959 	0.010992 	0.002547
0.095770 	0.118957 	0.010984 	0.001126
0.095608 	0.118874 	0.010928 	0.007191
0.095602 	0.118874 	0.010944 	0.000958
0.095596 	0.118873 	0.010951 	0.001093
0.095538 	0.118846 	0.010955 	0.004172
0.095537 	0.118844 	0.010943 	0.001075
0.095520 	0.118833 	0.010931 	0.002427
0.095514 	0.118832 	0.010937 	0.001139
0.095153 	0.118655 	0.010910 	0.010563
0.095156 	0.118651 	0.010883 	0.000992
0.095154 	0.118648 	0.010875 	0.001027
0.095143 	0.118640 	0.010865 	0.002052
0.095137 	0.118638 	0.010870 	0.001288
0.095082 	0.118605 	0.010846 	0.004331
0.095076 	0.118604 	0.010856 	0.001064
0.095061 	0.118597 	0.010861 	0.002134
0.095057 	0.118594 	0.010854 	0.001258
0.094954 	0.118540 	0.010856 	0.005689
0.094954 	0.118537 	0.010842 	0.001000
0.094950 	0.118533 	0.010835 	0.001290
0.094892 	0.118503 	0.010840 	0.004252
0.094891 	0.118500 	0.010828 	0.001067
0.094879 	0.118491 	0.010818 	0.002169
0.094873 	0.118489 	0.010824 	0.001244
0.094764 	0.118421 	0.010784 	0.006127
0.094758 	0.118421 	0.010797 	0.000988
0.094752 	0.118418 	0.010803 	0.001244
0.094647 	0.118352 	0.010764 	0.006039
0.094641 	0.118351 	0.010777 	0.000989
0.094635 	0.118349 	0.010783 	0.001253
0.094548 	0.118292 	0.010748 	0.005546
0.094542 	0.118291 	0.010761 	0.000998
0.094535 	0.118289 	0.010766 	0.001315
0.094498 	0.118263 	0.010746 	0.003678
0.094494 	0.118262 	0.010754 	0.000992
0.094483 	0.118257 	0.010760 	0.001744
0.094478 	0.118253 	0.010753 	0.001427
0.094457 	0.118242 	0.010759 	0.002536
0.094455 	0.118239 	0.010752 	0.001111
0.094338 	0.118161 	0.010711 	0.006443
0.094332 	0.118160 	0.010724 	0.000978
0.094326 	0.118158 	0.010730 	0.001207
0.094085 	0.117999 	0.010659 	0.009197
0.094079 	0.117999 	0.010677 	0.000926
0.094074 	0.117997 	0.010684 	0.001016
0.094060 	0.117990 	0.010690 	0.002066
0.094057 	0.117986 	0.010683 	0.001260
0.093992 	0.117947 	0.010687 	0.004616
0.093991 	0.117944 	0.010676 	0.001043
0.093982 	0.117936 	0.010667 	0.001915
0.093976 	0.117934 	0.010672 	0.001317
0.093949 	0.117913 	0.010657 	0.003226
0.093944 	0.117911 	0.010663 	0.001038
0.093921 	0.117898 	0.010669 	0.002686
0.093919 	0.117896 	0.010662 	0.001086
0.093861 	0.117853 	0.010637 	0.004626
0.093856 	0.117852 	0.010648 	0.001041
0.093843 	0.117846 	0.010653 	0.001932
0.093840 	0.117842 	0.010647 	0.001305
0.093799 	0.117817 	0.010653 	0.003662
0.093798 	0.117814 	0.010644 	0.000986
0.093791 	0.117808 	0.010636 	0.001723
0.093784 	0.117805 	0.010641 	0.001418
0.093768 	0.117792 	0.010629 	0.002490
0.093763 	0.117790 	0.010635 	0.001105
0.093594 	0.117680 	0.010633 	0.007589
0.093595 	0.117677 	0.010616 	0.000941
0.093594 	0.117674 	0.010609 	0.001058
0.093560 	0.117648 	0.010591 	0.003571
0.093556 	0.117647 	0.010598 	0.000985
0.093546 	0.117642 	0.010604 	0.001757
0.093541 	0.117637 	0.010597 	0.001386
0.093520 	0.117625 	0.010603 	0.002620
0.093518 	0.117622 	0.010596 	0.001087
0.093440 	0.117562 	0.010565 	0.005404
0.093434 	0.117562 	0.010577 	0.000990
0.093428 	0.117559 	0.010582 	0.001322
0.093404 	0.117539 	0.010568 	0.003047
0.093400 	0.117538 	0.010575 	0.001045
0.093373 	0.117521 	0.010580 	0.002986
0.093371 	0.117518 	0.010573 	0.001050
0.093347 	0.117498 	0.010558 	0.003098
0.093342 	0.117497 	0.010565 	0.001040
0.093317 	0.117481 	0.010571 	0.002873
0.093315 	0.117478 	0.010564 	0.001059
0.093279 	0.117450 	0.010545 	0.003714
0.093275 	0.117448 	0.010553 	0.000976
0.093265 	0.117443 	0.010558 	0.001700
0.093261 	0.117439 	0.010552 	0.001414
0.093242 	0.117427 	0.010558 	0.002461
0.093240 	0.117424 	0.010551 	0.001099
0.093086 	0.117307 	0.010501 	0.007565
0.093080 	0.117307 	0.010516 	0.000932
0.093076 	0.117305 	0.010523 	0.001055
0.093034 	0.117278 	0.010529 	0.003764
0.093033 	0.117275 	0.010520 	0.000973
0.093027 	0.117269 	0.010512 	0.001669
0.093020 	0.117265 	0.010517 	0.001430
0.093009 	0.117255 	0.010508 	0.002155
0.093003 	0.117252 	0.010513 	0.001209
0.092899 	0.117170 	0.010476 	0.006282
0.092893 	0.117170 	0.010489 	0.000966
0.092888 	0.117167 	0.010495 	0.001205
0.092778 	0.117081 	0.010457 	0.006433
0.092773 	0.117080 	0.010470 	0.000961
0.092767 	0.117078 	0.010475 	0.001187
0.092585 	0.116934 	0.010420 	0.008287
0.092579 	0.116934 	0.010436 	0.000919
0.092574 	0.116932 	0.010443 	0.001025
0.092552 	0.116917 	0.010449 	0.002742
0.092550 	0.116914 	0.010442 	0.001059
