x[0] 		x[1] 		 Norma
0.100000 	0.100000
0.419066 	1.771388 	1.814782
0.496932 	1.986661 	0.938260
0.499992 	1.999961 	0.236797
0.500000 	2.000000 	0.012757
0.500000 	2.000000 	0.000035
0.500000 	2.000000 	0.000000
